station_id,station_name,lat,lon,county,waterbody,huc8
Cent-005,Central Delta Subregion - Cent-005,37.901526367,-121.613998289,CONTRA COSTA,,
Cent-007,Central Delta Subregion - Cent-007,38.10000839,-121.600551036,SACRAMENTO,,
Sout-001,South Delta Subregion - Sout-001,38.052833889,-121.498637977,SAN JOAQUIN,,
Sout-002,South Delta Subregion - Sout-002,37.958225513,-121.3794921,SAN JOAQUIN,,
Sout-003,South Delta Subregion - Sout-003,38.046231037,-121.475567089,SAN JOAQUIN,,
Sout-004,South Delta Subregion - Sout-004,37.80751255,-121.415354392,SAN JOAQUIN,,
Sout-006,South Delta Subregion - Sout-006,38.032826687,-121.379842001,SAN JOAQUIN,,
Sout-009,South Delta Subregion - Sout-009,37.820283639,-121.492475643,SAN JOAQUIN,,
Sout-017,South Delta Subregion - Sout-017,38.041658207,-121.497708007,SAN JOAQUIN,,
Sout-020,South Delta Subregion - Sout-020,38.105626513,-121.489373189,SAN JOAQUIN,,
Sout-024,South Delta Subregion - Sout-024,38.063876616,-121.498171019,SAN JOAQUIN,,
Sout-025,South Delta Subregion - Sout-025,37.916626852,-121.32143776,SAN JOAQUIN,,
Cent-021,Central Delta Subregion - Cent-021,37.889296722,-121.574673516,SAN JOAQUIN,,
Cent-022,Central Delta Subregion - Cent-022,38.00363694,-121.528840409,SAN JOAQUIN,,
Conf-001,Delta Confluence Subregion - Conf-001,38.041066418,-121.824613771,SACRAMENTO,,
Conf-002,Delta Confluence Subregion - Conf-002,38.059261801,-121.822240164,SACRAMENTO,,
Conf-003,Delta Confluence Subregion - Conf-003,38.029355166,-121.754008928,SACRAMENTO,,
Conf-007,Delta Confluence Subregion - Conf-007,38.078030821,-121.682562949,SACRAMENTO,,
Conf-009,Delta Confluence Subregion - Conf-009,38.035015172,-121.83132101,SACRAMENTO,,
Conf-013,Delta Confluence Subregion - Conf-013,38.074391901,-121.772879342,SOLANO,,
Conf-014,Delta Confluence Subregion - Conf-014,38.04786571,-121.79496366,SACRAMENTO,,
Conf-024,Delta Confluence Subregion - Conf-024,38.0390948,-121.724536959,SACRAMENTO,,
Conf-027,Delta Confluence Subregion - Conf-027,38.051607244,-121.691583985,CONTRA COSTA,,
Yolo-002,Yolo Bypass - Cache Slough Subregion - Yolo-002,38.269192606,-121.692386272,SOLANO,,
Yolo-010,Yolo Bypass - Cache Slough Subregion - Yolo-010,38.461783995,-121.588633651,YOLO,,
Yolo-012,Yolo Bypass - Cache Slough Subregion - Yolo-012,38.282413859,-121.681004077,SOLANO,,
Yolo-013,Yolo Bypass - Cache Slough Subregion - Yolo-013,38.208198612,-121.663061988,SOLANO,,
Nort-008,Northeast Delta Subregion - Nort-008,38.120163316,-121.582540482,SAN JOAQUIN,,
Nort-009,Northeast Delta Subregion - Nort-009,38.122350594,-121.498293875,SAN JOAQUIN,,
Sacr-023,Sacramento River Subregion - Sacr-023,38.494160793,-121.555867225,SACRAMENTO,,
Sout-010,South Delta Subregion - Sout-010,38.005638383,-121.444295767,SAN JOAQUIN,,
Cent-016,Central Delta Subregion - Cent-016,38.10420348,-121.593001183,SACRAMENTO,,
Cent-018,Central Delta Subregion - Cent-018,37.991558213,-121.515345937,SAN JOAQUIN,,
B9D75891188,Calaveras River at UOP Footbridge,37.980025,-121.336477,SAN JOAQUIN,,
511NACDOA,New Alamo Creek downstream of confluence between New and Old Alamo Creeks,38.329789,-121.860019,SOLANO,,
519SHCDRC,Steelhead Creek main stem downstream of Robla and Steelhead Creek confluence,38.6565,-121.475453,SACRAMENTO,,
Yolo-004,Yolo Bypass - Cache Slough Subregion - Yolo-004,38.31956684,-121.692764797,YOLO,,
Yolo-006,Yolo Bypass - Cache Slough Subregion - Yolo-006,38.252140884,-121.675582822,SOLANO,,
Nort-010,Northeast Delta Subregion - Nort-010,38.269985855,-121.477449465,SACRAMENTO,,
Nort-015,Northeast Delta Subregion - Nort-015,38.129692962,-121.561755427,SAN JOAQUIN,,
Nort-021,Northeast Delta Subregion - Nort-021,38.156139267,-121.503107859,SAN JOAQUIN,,
Cent-011,Central Delta Subregion - Cent-011,38.034919413,-121.600466004,CONTRA COSTA,,
Yolo-005,Yolo Bypass - Cache Slough Subregion - Yolo-005,38.259048209,-121.66765438,SOLANO,,
Yolo-007,Yolo Bypass - Cache Slough Subregion - Yolo-007,38.271217228,-121.702826468,SOLANO,,
Cent-023,Central Delta Subregion - Cent-023,38.05159274,-121.634194299,CONTRA COSTA,,
Conf-008,Delta Confluence Subregion - Conf-008,38.043454179,-121.70929088,SACRAMENTO,,
Conf-025,Delta Confluence Subregion - Conf-025,38.065923014,-121.793418948,SOLANO,,
544DMC020,DMC off HWY 4 ,37.81239,-121.57887,CONTRA COSTA,,
B9D81531264,Mokelumne River at Benson's Ferry,38.254614,-121.436581,SAN JOAQUIN,,
B0702000,San Joaquin River near Vernalis,37.6793,-121.2651,SAN JOAQUIN,,
A0294500,Colusa Basin Ag Drain,38.801973,-121.725518,YOLO,,
KA000331,Banks Pumping Plant,37.814797,-121.615733,CONTRA COSTA,,
B9D75811344,Old River at Bacon Island,37.9691,-121.5729,SAN JOAQUIN,,
B9C74781351,Jones Pumping Plant,37.7969,-121.5855,ALAMEDA,,
B9D83221310,Sacramento River at Westin Boat Dock,38.530034,-121.530912,YOLO,,
